"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",TIME,""Value"",""Flag Codes"""
"CAN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2015"",95.125,"
"CAN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",96.454,"
"CZE,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",115.554,"
"CZE,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",110.291,"
"CZE,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",49.464,"
"CZE,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",109.4,"
"CZE,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",83.261,"
"CZE,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",78.876,"
"CZE,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",80.41,"
"CZE,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",80.435,"
"CZE,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",119.107,"
"CZE,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",106.137,"
"CZE,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",41.109,"
"CZE,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",104.748,"
"CZE,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",82.585,"
"CZE,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2014"",79.365,"
"CZE,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2015"",80.14,"
"CZE,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",80.224,"
"CZE,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",147.365,"
"CZE,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",133.371,"
"CZE,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",58.25,"
"CZE,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",114.295,"
"CZE,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",83.967,"
"CZE,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",78.361,"
"CZE,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2015"",80.697,"
"CZE,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",80.661,"
"DNK,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",108.293,"
"DNK,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",106.579,"
"DNK,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",108.439,"
"DNK,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",113.074,"
"DNK,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",114.415,"
"DNK,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",114.104,"
